python3 brench-pipeless/brench.py benchmark.toml
benchmark,run,result
std_lt,baseline,3467
std_lt,10,317
std_lt,100,1083
std_lt,1000,7630
std_lt,10000,50929
std_lt,100000,614906
std_lt,1000000,7759563
std_lsh,baseline,3436
std_lsh,10,3535
std_lsh,100,1053
std_lsh,1000,7342
std_lsh,10000,65986
std_lsh,100000,586020
std_lsh,1000000,7397441
std_xor,baseline,328
std_xor,10,388
std_xor,100,2872
std_xor,1000,9343
std_xor,10000,54413
std_xor,100000,568512
std_xor,1000000,8067994
std_ge,baseline,285
std_ge,10,329
std_ge,100,3655
std_ge,1000,6774
std_ge,10000,54448
std_ge,100000,609070
std_ge,1000000,9610697
fib,baseline,700
fib,10,3454
fib,100,8905
fib,1000,69152
fib,10000,766270
fib,100000,9238621
fib,1000000,48447717
gen_xor_cat,baseline,571
gen_xor_cat,10,882
gen_xor_cat,100,13439
gen_xor_cat,1000,97630
gen_xor_cat,10000,890294
gen_xor_cat,100000,10546533
gen_xor_cat,1000000,53301438
std_neq,baseline,441
std_neq,10,2621
std_neq,100,1565
std_neq,1000,5142
std_neq,10000,78633
std_neq,100000,748772
std_neq,1000000,8790701
std_slice,baseline,321
std_slice,10,340
std_slice,100,855
std_slice,1000,5233
std_slice,10000,51569
std_slice,100000,486241
std_slice,1000000,5915368
std_rsh,baseline,374
std_rsh,10,419
std_rsh,100,3109
std_rsh,1000,14673
std_rsh,10000,83044
std_rsh,100000,775710
std_rsh,1000000,9252952
std_not,baseline,6804
std_not,10,2305
std_not,100,4629
std_not,1000,5970
std_not,10000,62029
std_not,100000,592242
std_not,1000000,6264620
std_or,baseline,2656
std_or,10,478
std_or,100,1380
std_or,1000,32091
std_or,10000,117939
std_or,100000,1130192
std_or,1000000,9648076
std_add,baseline,446
std_add,10,548
std_add,100,1611
std_add,1000,15680
std_add,10000,120387
std_add,100000,1132761
std_add,1000000,9285622
std_cat,baseline,9340
std_cat,10,14504
std_cat,100,1565
std_cat,1000,22598
std_cat,10000,108780
std_cat,100000,1083165
std_cat,1000000,8480306
std_eq,baseline,431
std_eq,10,2794
std_eq,100,1374
std_eq,1000,8913
std_eq,10000,95300
std_eq,100000,881443
std_eq,1000000,7459233
std_pad,baseline,9874
std_pad,10,401
std_pad,100,1008
std_pad,1000,7925
std_pad,10000,53839
std_pad,100000,487329
std_pad,1000000,4830809
std_gt,baseline,446
std_gt,10,484
std_gt,100,3652
std_gt,1000,11886
std_gt,10000,101448
std_gt,100000,930807
std_gt,1000000,7336512
std_sub,baseline,2882
std_sub,10,530
std_sub,100,3774
std_sub,1000,11724
std_sub,10000,122328
std_sub,100000,1071117
std_sub,1000000,7355841
std_and,baseline,3662
std_and,10,446
std_and,100,4405
std_and,1000,13299
std_and,10000,93468
std_and,100000,846891
std_and,1000000,6349261
std_le,baseline,398
std_le,10,4247
std_le,100,1362
std_le,1000,14586
std_le,10000,102417
std_le,100000,927623
std_le,1000000,6043798
std_mux,baseline,422
std_mux,10,522
std_mux,100,3705
std_mux,1000,14168
std_mux,10000,111088
std_mux,100000,952858
std_mux,1000000,6371401
